id,category,rank,english,korean,example,datasetVersion,sourceType
266,Conversation Chunk,266,Can you send it?,보내줄래?,Can you send it by email?,2.0,curated-speaking-core
267,Conversation Chunk,267,Can you wait?,기다려줄래?,Can you wait a few minutes?,2.0,curated-speaking-core
268,Conversation Chunk,268,Do you mind...?,~해도 괜찮아?,Do you mind if I sit here?,2.0,curated-speaking-core
269,Conversation Chunk,269,Would you mind...?,~해주시겠어요?,Would you mind checking this?,2.0,curated-speaking-core
270,Conversation Chunk,270,Would it be okay if...?,~해도 괜찮을까?,Would it be okay if I joined later?,2.0,curated-speaking-core
271,Conversation Chunk,271,Is it okay if...?,~해도 돼?,Is it okay if I leave early?,2.0,curated-speaking-core
272,Conversation Chunk,272,Is that okay?,그거 괜찮아?,Is that okay with you?,2.0,curated-speaking-core
273,Conversation Chunk,273,Is that possible?,그게 가능해?,Is that possible by Friday?,2.0,curated-speaking-core
274,Conversation Chunk,274,Is there any way...?,방법이 있을까?,Is there any way to fix this today?,2.0,curated-speaking-core
275,Conversation Chunk,275,Do we have to...?,우리 ~해야 해?,Do we have to do it now?,2.0,curated-speaking-core
276,Conversation Chunk,276,Do we need to...?,우리 ~할 필요 있어?,Do we need to update this?,2.0,curated-speaking-core
277,Conversation Chunk,277,Do you know if...?,~인지 알아?,Do you know if he's available?,2.0,curated-speaking-core
278,Conversation Chunk,278,Do you happen to know...?,혹시 ~알아?,Do you happen to know the password?,2.0,curated-speaking-core
279,Conversation Chunk,279,Have you ever...?,~해본 적 있어?,Have you ever been to Japan?,2.0,curated-speaking-core
280,Conversation Chunk,280,Have you seen...?,~봤어?,Have you seen this error before?,2.0,curated-speaking-core
281,Conversation Chunk,281,Have you heard...?,~들어봤어?,Have you heard about this tool?,2.0,curated-speaking-core
282,Conversation Chunk,282,Have you tried...?,~해봤어?,Have you tried restarting it?,2.0,curated-speaking-core
283,Conversation Chunk,283,Did you check...?,~확인했어?,Did you check the logs?,2.0,curated-speaking-core
284,Conversation Chunk,284,Did you get...?,~받았어?,Did you get my email?,2.0,curated-speaking-core
285,Conversation Chunk,285,Did you see...?,~봤어?,Did you see the latest message?,2.0,curated-speaking-core
286,Conversation Chunk,286,Did you hear...?,~들었어?,Did you hear what happened?,2.0,curated-speaking-core
287,Conversation Chunk,287,Did you finish...?,~끝냈어?,Did you finish the task?,2.0,curated-speaking-core
288,Conversation Chunk,288,Are you done?,다 했어?,Are you done with the report?,2.0,curated-speaking-core
289,Conversation Chunk,289,I'm done.,다 했어.,I'm done with the task.,2.0,curated-speaking-core
290,Conversation Chunk,290,I'm not done yet.,아직 안 끝났어.,I'm not done yet.,2.0,curated-speaking-core
291,Conversation Chunk,291,I'm working on it.,작업 중이야.,I'm working on it right now.,2.0,curated-speaking-core
292,Conversation Chunk,292,I'm checking.,확인 중이야.,I'm checking the issue now.,2.0,curated-speaking-core
293,Conversation Chunk,293,I'm looking into it.,조사 중이야.,I'm looking into it.,2.0,curated-speaking-core
294,Conversation Chunk,294,I'm waiting for...,~을 기다리는 중이야.,I'm waiting for their response.,2.0,curated-speaking-core
295,Conversation Chunk,295,I'm still waiting.,아직 기다리고 있어.,I'm still waiting for approval.,2.0,curated-speaking-core
296,Conversation Chunk,296,I'm almost done.,거의 다 했어.,I'm almost done with the report.,2.0,curated-speaking-core
297,Conversation Chunk,297,I'm getting there.,거의 되어가.,I'm getting there. Give me a few more minutes.,2.0,curated-speaking-core
298,Conversation Chunk,298,I'm not used to it.,아직 익숙하지 않아.,I'm not used to speaking English every day.,2.0,curated-speaking-core
299,Conversation Chunk,299,I'm used to it.,익숙해.,I'm used to working at night.,2.0,curated-speaking-core
300,Conversation Chunk,300,I'm getting used to it.,익숙해지는 중이야.,I'm getting used to the new system.,2.0,curated-speaking-core
301,Phrasal Verb,1,go on,계속하다 / 일어나다,What's going on?,2.0,curated-speaking-core
302,Phrasal Verb,2,come back,돌아오다,I'll come back later.,2.0,curated-speaking-core
303,Phrasal Verb,3,find out,알아내다,I'll find out what happened.,2.0,curated-speaking-core
304,Phrasal Verb,4,come up,생기다 / 언급되다,Something came up.,2.0,curated-speaking-core
305,Phrasal Verb,5,go back,돌아가다,I want to go back.,2.0,curated-speaking-core
306,Phrasal Verb,6,pick up,집다 / 데리러 가다 / 익히다,I'll pick you up at six.,2.0,curated-speaking-core
307,Phrasal Verb,7,come out,나오다,When does it come out?,2.0,curated-speaking-core
308,Phrasal Verb,8,go out,나가다,Let's go out tonight.,2.0,curated-speaking-core
309,Phrasal Verb,9,point out,지적하다,Let me point out one thing.,2.0,curated-speaking-core
310,Phrasal Verb,10,grow up,자라다,I grew up in Korea.,2.0,curated-speaking-core
311,Phrasal Verb,11,set up,설정하다 / 준비하다,I'll set it up.,2.0,curated-speaking-core
312,Phrasal Verb,12,turn out,결과적으로 ~되다,It turned out fine.,2.0,curated-speaking-core
313,Phrasal Verb,13,get back,돌아오다,I'll get back soon.,2.0,curated-speaking-core
314,Phrasal Verb,14,take off,벗다 / 이륙하다,The plane takes off at nine.,2.0,curated-speaking-core
315,Phrasal Verb,15,look up,찾아보다,I'll look it up.,2.0,curated-speaking-core
316,Phrasal Verb,16,figure out,알아내다 / 해결하다,I'll figure it out.,2.0,curated-speaking-core
317,Phrasal Verb,17,give up,포기하다,Don't give up.,2.0,curated-speaking-core
318,Phrasal Verb,18,bring up,화제를 꺼내다,She brought it up.,2.0,curated-speaking-core
319,Phrasal Verb,19,run out of,다 떨어지다,We're running out of time.,2.0,curated-speaking-core
320,Phrasal Verb,20,deal with,처리하다,I'll deal with it.,2.0,curated-speaking-core
321,Phrasal Verb,21,look into,조사하다,I'll look into the issue.,2.0,curated-speaking-core
322,Phrasal Verb,22,go over,검토하다,Let's go over the requirements.,2.0,curated-speaking-core
323,Phrasal Verb,23,move on,다음으로 넘어가다,Let's move on.,2.0,curated-speaking-core
324,Phrasal Verb,24,run into,우연히 만나다 / 문제에 부딪히다,We ran into a problem.,2.0,curated-speaking-core
325,Phrasal Verb,25,work out,잘 해결되다 / 운동하다,I'm sure it'll work out.,2.0,curated-speaking-core
326,Phrasal Verb,26,turn on,켜다,Turn on the monitor.,2.0,curated-speaking-core
327,Phrasal Verb,27,turn off,끄다,Turn off the computer.,2.0,curated-speaking-core
328,Phrasal Verb,28,log in,로그인하다,I can't log in.,2.0,curated-speaking-core
329,Phrasal Verb,29,log out,로그아웃하다,Don't forget to log out.,2.0,curated-speaking-core
330,Phrasal Verb,30,sign up,가입하다,I signed up yesterday.,2.0,curated-speaking-core
331,Phrasal Verb,31,sign in,로그인하다,Please sign in first.,2.0,curated-speaking-core
332,Phrasal Verb,32,sign out,로그아웃하다,Please sign out when you leave.,2.0,curated-speaking-core
333,Phrasal Verb,33,check in,체크인하다 / 확인하다,I'll check in at three.,2.0,curated-speaking-core
334,Phrasal Verb,34,check out,확인하다 / 체크아웃하다,Check out this tool.,2.0,curated-speaking-core
335,Phrasal Verb,35,fill out,작성하다,Please fill out this form.,2.0,curated-speaking-core
336,Phrasal Verb,36,write down,적다,Write it down.,2.0,curated-speaking-core
337,Phrasal Verb,37,note down,메모하다,Let me note that down.,2.0,curated-speaking-core
338,Phrasal Verb,38,call back,다시 전화하다,I'll call you back.,2.0,curated-speaking-core
339,Phrasal Verb,39,hang up,전화를 끊다,Don't hang up.,2.0,curated-speaking-core
340,Phrasal Verb,40,hold on,기다리다,Hold on for a second.,2.0,curated-speaking-core
341,Phrasal Verb,41,cut off,끊기다 / 차단하다,The call got cut off.,2.0,curated-speaking-core
342,Phrasal Verb,42,break down,고장 나다 / 분석하다,The server broke down.,2.0,curated-speaking-core
343,Phrasal Verb,43,shut down,종료하다,We need to shut down the service.,2.0,curated-speaking-core
344,Phrasal Verb,44,start up,시작하다 / 기동하다,The system is starting up.,2.0,curated-speaking-core
345,Phrasal Verb,45,back up,백업하다,Back up the data first.,2.0,curated-speaking-core
346,Phrasal Verb,46,roll back,되돌리다,We may need to roll back.,2.0,curated-speaking-core
347,Phrasal Verb,47,clean up,정리하다,Let's clean up the old files.,2.0,curated-speaking-core
348,Phrasal Verb,48,speed up,속도를 높이다,This should speed up the process.,2.0,curated-speaking-core
349,Phrasal Verb,49,slow down,속도를 늦추다,Please slow down.,2.0,curated-speaking-core
350,Phrasal Verb,50,scale up,확장하다,We need to scale up the service.,2.0,curated-speaking-core
351,Phrasal Verb,51,scale down,축소하다,We can scale down later.,2.0,curated-speaking-core
352,Phrasal Verb,52,follow up,후속 조치하다,I'll follow up tomorrow.,2.0,curated-speaking-core
353,Phrasal Verb,53,catch up,따라잡다 / 밀린 얘기하다,Let's catch up later.,2.0,curated-speaking-core
354,Phrasal Verb,54,keep up,계속 유지하다,Keep up the good work.,2.0,curated-speaking-core
355,Phrasal Verb,55,keep on,계속하다,Keep on trying.,2.0,curated-speaking-core
356,Phrasal Verb,56,carry on,계속하다,Please carry on.,2.0,curated-speaking-core
357,Phrasal Verb,57,carry out,수행하다,We carried out the test.,2.0,curated-speaking-core
358,Phrasal Verb,58,put off,미루다,Let's not put it off.,2.0,curated-speaking-core
359,Phrasal Verb,59,hold off,미루다 / 보류하다,Let's hold off for now.,2.0,curated-speaking-core
360,Phrasal Verb,60,put on,입다 / 켜다,Put on your jacket.,2.0,curated-speaking-core
361,Phrasal Verb,61,take out,꺼내다 / 데리고 나가다,Take out your phone.,2.0,curated-speaking-core
362,Phrasal Verb,62,put away,치우다,Put it away.,2.0,curated-speaking-core
363,Phrasal Verb,63,throw away,버리다,Don't throw it away.,2.0,curated-speaking-core
364,Phrasal Verb,64,give back,돌려주다,I'll give it back tomorrow.,2.0,curated-speaking-core
365,Phrasal Verb,65,hand over,넘겨주다,I'll hand it over to the team.,2.0,curated-speaking-core
366,Phrasal Verb,66,pass on,전달하다,I'll pass it on.,2.0,curated-speaking-core
367,Phrasal Verb,67,send out,발송하다,We'll send out the notice.,2.0,curated-speaking-core
368,Phrasal Verb,68,reach out,연락하다,I'll reach out to them.,2.0,curated-speaking-core
369,Phrasal Verb,69,get in touch,연락하다,I'll get in touch with him.,2.0,curated-speaking-core
370,Phrasal Verb,70,get along,잘 지내다,We get along well.,2.0,curated-speaking-core
371,Phrasal Verb,71,get over,극복하다,You'll get over it.,2.0,curated-speaking-core
372,Phrasal Verb,72,get through,통과하다 / 끝내다,We got through the test.,2.0,curated-speaking-core
373,Phrasal Verb,73,get by,그럭저럭 해내다,I can get by with basic English.,2.0,curated-speaking-core
374,Phrasal Verb,74,get into,~에 빠지다 / 들어가다,I got into backend development.,2.0,curated-speaking-core
375,Phrasal Verb,75,get out,나가다,Let's get out of here.,2.0,curated-speaking-core
376,Phrasal Verb,76,get off,내리다,Get off at the next stop.,2.0,curated-speaking-core
377,Phrasal Verb,77,get on,타다 / 잘 지내다,Get on the bus here.,2.0,curated-speaking-core
378,Phrasal Verb,78,get up,일어나다,I get up at seven.,2.0,curated-speaking-core
379,Phrasal Verb,79,wake up,잠에서 깨다,I woke up early.,2.0,curated-speaking-core
380,Phrasal Verb,80,lie down,눕다,I need to lie down.,2.0,curated-speaking-core
381,Phrasal Verb,81,sit down,앉다,Please sit down.,2.0,curated-speaking-core
382,Phrasal Verb,82,stand up,일어서다,Please stand up.,2.0,curated-speaking-core
383,Phrasal Verb,83,show up,나타나다,He didn't show up.,2.0,curated-speaking-core
384,Phrasal Verb,84,turn up,나타나다 / 소리를 높이다,He turned up late.,2.0,curated-speaking-core
385,Phrasal Verb,85,turn down,거절하다 / 낮추다,I turned down the offer.,2.0,curated-speaking-core
386,Phrasal Verb,86,take over,인수하다,I'll take over from here.,2.0,curated-speaking-core
387,Phrasal Verb,87,take on,맡다,I can take on this task.,2.0,curated-speaking-core
388,Phrasal Verb,88,take back,되돌려주다 / 취소하다,I take back what I said.,2.0,curated-speaking-core
389,Phrasal Verb,89,take apart,분해하다,We took it apart.,2.0,curated-speaking-core
390,Phrasal Verb,90,put together,조립하다 / 정리하다,I put together a quick demo.,2.0,curated-speaking-core
391,Phrasal Verb,91,break up,헤어지다 / 쪼개다,Let's break it up into smaller tasks.,2.0,curated-speaking-core
392,Phrasal Verb,92,split up,나누다,Let's split up the work.,2.0,curated-speaking-core
393,Phrasal Verb,93,sum up,요약하다,Let me sum it up.,2.0,curated-speaking-core
394,Phrasal Verb,94,wrap up,마무리하다,Let's wrap up the meeting.,2.0,curated-speaking-core
395,Phrasal Verb,95,clear up,해결하다 / 개다,That should clear things up.,2.0,curated-speaking-core
396,Phrasal Verb,96,sort out,정리하다 / 해결하다,We'll sort it out.,2.0,curated-speaking-core
397,Phrasal Verb,97,iron out,문제를 해결하다,We need to iron out a few issues.,2.0,curated-speaking-core
398,Phrasal Verb,98,fix up,수리하다 / 정리하다,I'll fix it up.,2.0,curated-speaking-core
399,Phrasal Verb,99,mess up,망치다,I messed up the configuration.,2.0,curated-speaking-core
400,Phrasal Verb,100,screw up,망치다,I screwed up.,2.0,curated-speaking-core
401,Phrasal Verb,101,end up,결국 ~하다,We ended up waiting.,2.0,curated-speaking-core
402,Phrasal Verb,102,wind up,결국 ~하다,We wound up using the old system.,2.0,curated-speaking-core
403,Phrasal Verb,103,leave out,빼다,Don't leave out this step.,2.0,curated-speaking-core
404,Phrasal Verb,104,leave behind,두고 가다,I left my charger behind.,2.0,curated-speaking-core
405,Phrasal Verb,105,drop off,내려주다 / 떨어지다,I'll drop you off.,2.0,curated-speaking-core
406,Phrasal Verb,106,drop by,잠깐 들르다,I'll drop by later.,2.0,curated-speaking-core
407,Phrasal Verb,107,stop by,잠깐 들르다,Stop by when you're free.,2.0,curated-speaking-core
408,Phrasal Verb,108,come over,놀러오다,Come over this weekend.,2.0,curated-speaking-core
409,Phrasal Verb,109,come along,함께 오다,You can come along.,2.0,curated-speaking-core
410,Phrasal Verb,110,come across,우연히 발견하다,I came across this article.,2.0,curated-speaking-core
411,Phrasal Verb,111,run across,우연히 발견하다,I ran across an old file.,2.0,curated-speaking-core
412,Phrasal Verb,112,look for,찾다,I'm looking for the file.,2.0,curated-speaking-core
413,Phrasal Verb,113,look at,보다,Let's look at the data.,2.0,curated-speaking-core
414,Phrasal Verb,114,look after,돌보다,Can you look after this?,2.0,curated-speaking-core
415,Phrasal Verb,115,look forward to,기대하다,I look forward to hearing from you.,2.0,curated-speaking-core
416,Phrasal Verb,116,look out,조심하다,Look out!,2.0,curated-speaking-core
417,Phrasal Verb,117,watch out,조심하다,Watch out for that step.,2.0,curated-speaking-core
418,Phrasal Verb,118,check on,상태를 확인하다,I'll check on the server.,2.0,curated-speaking-core
419,Phrasal Verb,119,check over,검토하다,Please check over the document.,2.0,curated-speaking-core
420,Phrasal Verb,120,read through,끝까지 읽다,I'll read through it.,2.0,curated-speaking-core
421,Phrasal Verb,121,think over,곰곰이 생각하다,Let me think it over.,2.0,curated-speaking-core
422,Phrasal Verb,122,talk over,상의하다,Let's talk it over.,2.0,curated-speaking-core
423,Phrasal Verb,123,work on,작업하다,I'm working on it.,2.0,curated-speaking-core
424,Phrasal Verb,124,work with,함께 일하다 / 다루다,I work with APIs.,2.0,curated-speaking-core
425,Phrasal Verb,125,help out,도와주다,Can you help me out?,2.0,curated-speaking-core
426,Phrasal Verb,126,join in,참여하다,Feel free to join in.,2.0,curated-speaking-core
427,Phrasal Verb,127,step in,개입하다,I'll step in if needed.,2.0,curated-speaking-core
428,Phrasal Verb,128,step out,잠깐 나가다,I need to step out.,2.0,curated-speaking-core
429,Phrasal Verb,129,step down,물러나다,He stepped down.,2.0,curated-speaking-core
430,Phrasal Verb,130,step up,나서다 / 강화하다,We need to step up.,2.0,curated-speaking-core
431,Phrasal Verb,131,back down,물러서다,He refused to back down.,2.0,curated-speaking-core
432,Phrasal Verb,132,back out,빠지다,They backed out of the deal.,2.0,curated-speaking-core
433,Phrasal Verb,133,back off,물러나다,Back off a little.,2.0,curated-speaking-core
434,Phrasal Verb,134,go ahead,진행하다,Go ahead.,2.0,curated-speaking-core
435,Phrasal Verb,135,go through,검토하다 / 겪다,Let's go through the details.,2.0,curated-speaking-core
436,Phrasal Verb,136,go with,선택하다 / 어울리다,Let's go with option A.,2.0,curated-speaking-core
437,Phrasal Verb,137,go without,~없이 지내다,I can go without coffee.,2.0,curated-speaking-core
438,Phrasal Verb,138,come in,들어오다,Come in.,2.0,curated-speaking-core
439,Phrasal Verb,139,come from,~에서 오다,Where do you come from?,2.0,curated-speaking-core
440,Phrasal Verb,140,come down,내려오다 / 감소하다,Prices came down.,2.0,curated-speaking-core
441,Phrasal Verb,141,come around,마음을 바꾸다 / 들르다,He'll come around.,2.0,curated-speaking-core
442,Phrasal Verb,142,fall apart,무너지다,The plan fell apart.,2.0,curated-speaking-core
443,Phrasal Verb,143,fall behind,뒤처지다,We're falling behind.,2.0,curated-speaking-core
444,Phrasal Verb,144,fall through,무산되다,The deal fell through.,2.0,curated-speaking-core
445,Phrasal Verb,145,pay back,갚다,I'll pay you back.,2.0,curated-speaking-core
446,Phrasal Verb,146,pay off,성과가 나다 / 갚다,The effort paid off.,2.0,curated-speaking-core
447,Phrasal Verb,147,save up,저축하다,I'm saving up for a trip.,2.0,curated-speaking-core
448,Phrasal Verb,148,use up,다 써버리다,We used up all the storage.,2.0,curated-speaking-core
449,Phrasal Verb,149,cut down,줄이다,We need to cut down costs.,2.0,curated-speaking-core
450,Phrasal Verb,150,cut back,줄이다,We should cut back on spending.,2.0,curated-speaking-core
451,Core Word,1,get,얻다 / 되다 / 도착하다 / 이해하다,I get it.,2.0,curated-speaking-core
452,Core Word,2,go,가다,I have to go.,2.0,curated-speaking-core
453,Core Word,3,know,알다,I know what you mean.,2.0,curated-speaking-core
454,Core Word,4,think,생각하다,I think it's fine.,2.0,curated-speaking-core
455,Core Word,5,want,원하다,I want to try it.,2.0,curated-speaking-core
456,Core Word,6,come,오다,Come with me.,2.0,curated-speaking-core
457,Core Word,7,take,가져가다 / 걸리다,It takes ten minutes.,2.0,curated-speaking-core
458,Core Word,8,make,만들다 / ~하게 하다,That makes sense.,2.0,curated-speaking-core
459,Core Word,9,see,보다 / 이해하다,I see.,2.0,curated-speaking-core
460,Core Word,10,mean,의미하다,What do you mean?,2.0,curated-speaking-core
461,Core Word,11,give,주다,Give me a second.,2.0,curated-speaking-core
462,Core Word,12,need,필요하다,I need some help.,2.0,curated-speaking-core
463,Core Word,13,feel,느끼다,I feel tired.,2.0,curated-speaking-core
464,Core Word,14,try,시도하다,I'll try again.,2.0,curated-speaking-core
465,Core Word,15,work,일하다 / 작동하다,It doesn't work.,2.0,curated-speaking-core
466,Core Word,16,call,전화하다 / 부르다,I'll call you.,2.0,curated-speaking-core
467,Core Word,17,ask,묻다,Can I ask you something?,2.0,curated-speaking-core
468,Core Word,18,tell,말해주다,Tell me what happened.,2.0,curated-speaking-core
469,Core Word,19,seem,~처럼 보이다,It seems fine.,2.0,curated-speaking-core
470,Core Word,20,help,돕다,Can you help me?,2.0,curated-speaking-core
471,Core Word,21,talk,이야기하다,Can we talk?,2.0,curated-speaking-core
472,Core Word,22,turn,돌다 / 바꾸다,Turn left here.,2.0,curated-speaking-core
473,Core Word,23,start,시작하다,Let's start.,2.0,curated-speaking-core
474,Core Word,24,show,보여주다,Let me show you.,2.0,curated-speaking-core
475,Core Word,25,hear,듣다,I can't hear you.,2.0,curated-speaking-core
476,Core Word,26,play,놀다 / 하다,Do you play tennis?,2.0,curated-speaking-core
477,Core Word,27,run,달리다 / 운영하다,I run every morning.,2.0,curated-speaking-core
478,Core Word,28,move,움직이다,Let's move on.,2.0,curated-speaking-core
479,Core Word,29,like,좋아하다 / ~같다,I like this.,2.0,curated-speaking-core
480,Core Word,30,happen,일어나다,What happened?,2.0,curated-speaking-core
481,Core Word,31,live,살다,I live in Korea.,2.0,curated-speaking-core
482,Core Word,32,believe,믿다,I believe you.,2.0,curated-speaking-core
483,Core Word,33,hold,잡다 / 유지하다,Hold on.,2.0,curated-speaking-core
484,Core Word,34,bring,가져오다,Bring your laptop.,2.0,curated-speaking-core
485,Core Word,35,write,쓰다,Write it down.,2.0,curated-speaking-core
486,Core Word,36,provide,제공하다,We provide support.,2.0,curated-speaking-core
487,Core Word,37,sit,앉다,Sit here.,2.0,curated-speaking-core
488,Core Word,38,stand,서다,Stand over there.,2.0,curated-speaking-core
489,Core Word,39,lose,잃다,I lost my key.,2.0,curated-speaking-core
490,Core Word,40,pay,지불하다,I'll pay.,2.0,curated-speaking-core
491,Core Word,41,meet,만나다,Let's meet tomorrow.,2.0,curated-speaking-core
492,Core Word,42,include,포함하다,This includes tax.,2.0,curated-speaking-core
493,Core Word,43,continue,계속하다,Please continue.,2.0,curated-speaking-core
494,Core Word,44,set,설정하다 / 놓다,Set the time.,2.0,curated-speaking-core
495,Core Word,45,learn,배우다,I want to learn English.,2.0,curated-speaking-core
496,Core Word,46,change,바꾸다,We need to change it.,2.0,curated-speaking-core
497,Core Word,47,lead,이끌다,She leads the team.,2.0,curated-speaking-core
498,Core Word,48,understand,이해하다,I understand.,2.0,curated-speaking-core
499,Core Word,49,watch,보다,Watch this.,2.0,curated-speaking-core
500,Core Word,50,follow,따르다,Follow me.,2.0,curated-speaking-core
501,Core Word,51,stop,멈추다,Stop here.,2.0,curated-speaking-core
502,Core Word,52,create,만들다,Let's create a new file.,2.0,curated-speaking-core
503,Core Word,53,speak,말하다,Please speak slowly.,2.0,curated-speaking-core
504,Core Word,54,read,읽다,Read this.,2.0,curated-speaking-core
505,Core Word,55,allow,허용하다,This allows access.,2.0,curated-speaking-core
506,Core Word,56,add,추가하다,Add one more.,2.0,curated-speaking-core
507,Core Word,57,spend,쓰다 / 보내다,I spend a lot of time coding.,2.0,curated-speaking-core
508,Core Word,58,grow,성장하다,The company is growing.,2.0,curated-speaking-core
509,Core Word,59,open,열다,Open the file.,2.0,curated-speaking-core
510,Core Word,60,walk,걷다,Let's walk.,2.0,curated-speaking-core
511,Core Word,61,win,이기다,We won.,2.0,curated-speaking-core
512,Core Word,62,offer,제공하다 / 제안하다,They offered me a job.,2.0,curated-speaking-core
513,Core Word,63,remember,기억하다,I remember.,2.0,curated-speaking-core
514,Core Word,64,love,사랑하다 / 아주 좋아하다,I love coffee.,2.0,curated-speaking-core
515,Core Word,65,consider,고려하다,Let's consider another option.,2.0,curated-speaking-core
516,Core Word,66,appear,나타나다,An error appeared.,2.0,curated-speaking-core
517,Core Word,67,buy,사다,I bought a new laptop.,2.0,curated-speaking-core
518,Core Word,68,wait,기다리다,Wait here.,2.0,curated-speaking-core
519,Core Word,69,serve,제공하다 / 응대하다,This API serves data.,2.0,curated-speaking-core
520,Core Word,70,die,죽다,The battery died.,2.0,curated-speaking-core
521,Core Word,71,send,보내다,Send me the file.,2.0,curated-speaking-core
522,Core Word,72,expect,기대하다,I expect it to work.,2.0,curated-speaking-core
523,Core Word,73,build,만들다 / 구축하다,We built the system.,2.0,curated-speaking-core
524,Core Word,74,stay,머무르다,Stay here.,2.0,curated-speaking-core
525,Core Word,75,fall,떨어지다,Prices fell.,2.0,curated-speaking-core
526,Core Word,76,cut,자르다 / 줄이다,Cut the cost.,2.0,curated-speaking-core
527,Core Word,77,reach,도달하다 / 연락하다,Reach out to me.,2.0,curated-speaking-core
528,Core Word,78,remain,남다,Two tasks remain.,2.0,curated-speaking-core
529,Core Word,79,suggest,제안하다,I suggest waiting.,2.0,curated-speaking-core
530,Core Word,80,raise,올리다,Raise the limit.,2.0,curated-speaking-core
531,Core Word,81,pass,통과하다 / 건네다,Pass me that.,2.0,curated-speaking-core
532,Core Word,82,sell,팔다,They sell software.,2.0,curated-speaking-core
533,Core Word,83,require,필요로 하다,This requires approval.,2.0,curated-speaking-core
534,Core Word,84,report,보고하다,Please report the issue.,2.0,curated-speaking-core
535,Core Word,85,decide,결정하다,We need to decide.,2.0,curated-speaking-core
536,Core Word,86,pull,당기다,Pull the door.,2.0,curated-speaking-core
537,Core Word,87,return,돌아오다 / 반환하다,I'll return tomorrow.,2.0,curated-speaking-core
538,Core Word,88,explain,설명하다,Let me explain.,2.0,curated-speaking-core
539,Core Word,89,hope,바라다,I hope so.,2.0,curated-speaking-core
540,Core Word,90,develop,개발하다,We develop backend services.,2.0,curated-speaking-core
541,Core Word,91,carry,나르다,Can you carry this?,2.0,curated-speaking-core
542,Core Word,92,break,부수다 / 고장 나다,Don't break it.,2.0,curated-speaking-core
543,Core Word,93,receive,받다,I received your email.,2.0,curated-speaking-core
544,Core Word,94,agree,동의하다,I agree.,2.0,curated-speaking-core
545,Core Word,95,support,지원하다,We support this feature.,2.0,curated-speaking-core
546,Core Word,96,hit,치다 / 도달하다,We hit the limit.,2.0,curated-speaking-core
547,Core Word,97,produce,생산하다,The system produces logs.,2.0,curated-speaking-core
548,Core Word,98,eat,먹다,Let's eat.,2.0,curated-speaking-core
549,Core Word,99,cover,포함하다 / 덮다,This covers the basics.,2.0,curated-speaking-core
550,Core Word,100,catch,잡다 / 이해하다,I didn't catch that.,2.0,curated-speaking-core
551,Core Word,101,draw,그리다,Draw a diagram.,2.0,curated-speaking-core
552,Core Word,102,choose,고르다,Choose one.,2.0,curated-speaking-core
553,Core Word,103,cause,원인이 되다,This caused the error.,2.0,curated-speaking-core
554,Core Word,104,listen,듣다,Listen carefully.,2.0,curated-speaking-core
555,Core Word,105,realize,깨닫다,I realized the problem.,2.0,curated-speaking-core
556,Core Word,106,place,놓다 / 장소,Place it here.,2.0,curated-speaking-core
557,Core Word,107,close,닫다,Close the window.,2.0,curated-speaking-core
558,Core Word,108,plan,계획하다,Let's plan ahead.,2.0,curated-speaking-core
559,Core Word,109,drive,운전하다,I drive to work.,2.0,curated-speaking-core
560,Core Word,110,sleep,자다,I need to sleep.,2.0,curated-speaking-core
561,Core Word,111,wear,입다,Wear a jacket.,2.0,curated-speaking-core
562,Core Word,112,recognize,알아보다,I recognized the pattern.,2.0,curated-speaking-core
563,Core Word,113,answer,대답하다,Please answer.,2.0,curated-speaking-core
564,Core Word,114,save,저장하다 / 아끼다,Save the file.,2.0,curated-speaking-core
565,Core Word,115,record,기록하다,Record the result.,2.0,curated-speaking-core
566,Core Word,116,review,검토하다,Let's review it.,2.0,curated-speaking-core
567,Core Word,117,test,테스트하다,Test it first.,2.0,curated-speaking-core
568,Core Word,118,check,확인하다,Check the logs.,2.0,curated-speaking-core
569,Core Word,119,fix,고치다,I'll fix it.,2.0,curated-speaking-core
570,Core Word,120,use,사용하다,Use this one.,2.0,curated-speaking-core
571,Core Word,121,find,찾다,I found the bug.,2.0,curated-speaking-core
572,Core Word,122,keep,유지하다,Keep it simple.,2.0,curated-speaking-core
573,Core Word,123,put,놓다,Put it here.,2.0,curated-speaking-core
574,Core Word,124,leave,떠나다 / 두다,Leave it there.,2.0,curated-speaking-core
575,Core Word,125,become,~이 되다,It became a problem.,2.0,curated-speaking-core
576,Core Word,126,begin,시작하다,Let's begin.,2.0,curated-speaking-core
577,Core Word,127,look,보다,Look at this.,2.0,curated-speaking-core
578,Core Word,128,say,말하다,What did you say?,2.0,curated-speaking-core
579,Core Word,129,do,하다,What should we do?,2.0,curated-speaking-core
580,Core Word,130,have,가지다,I have a question.,2.0,curated-speaking-core
581,Core Word,131,be,~이다 / 있다,It's okay.,2.0,curated-speaking-core
582,Core Word,132,about,~에 대해 / 약,"I use the word ""about"" often.",2.0,curated-speaking-core
583,Core Word,133,above,위에,"I use the word ""above"" often.",2.0,curated-speaking-core
584,Core Word,134,across,가로질러 / 건너편에,"I use the word ""across"" often.",2.0,curated-speaking-core
585,Core Word,135,action,행동 / 조치,"I use the word ""action"" often.",2.0,curated-speaking-core
586,Core Word,136,activity,활동,"I use the word ""activity"" often.",2.0,curated-speaking-core
587,Core Word,137,actually,사실은,Please do it actually.,2.0,curated-speaking-core
